Country,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,HDI_Category
Iceland,82.691,18.85058975,13.90892628,69116.93736,0.972,Very High
Norway,83.308,18.79285049,13.11796218,112710.0211,0.97,Very High
Switzerland,83.954,16.66753006,13.94912109,81948.90177,0.97,Very High
Denmark,81.933,18.70401001,13.0273206,76007.85669,0.962,Very High
Germany,81.378,17.30921936,14.29637163,64053.22124,0.959,Very High
Sweden,83.262,18.99147034,12.74032574,66102.08595,0.959,Very High
Australia,83.923,20.65477943,12.86999989,58276.87643,0.958,Very High
"Hong Kong, China (SAR)",85.511,16.89586067,12.35000038,69435.75706,0.955,Very High
Netherlands,82.158,18.58485031,12.66994689,68344.30826,0.955,Very High
Belgium,82.115,18.99603081,12.68965045,63582.47535,0.951,Very High
Ireland,82.412,19.1848793,11.72499956,90884.63459,0.949,Very High
Finland,81.91,19.49408913,12.97962547,57067.63693,0.948,Very High
Singapore,83.736,16.74227905,11.98999977,111239.2291,0.946,Very High
United Kingdom,81.302,17.81106949,13.48999977,54371.58634,0.946,Very High
United Arab Emirates,82.909,15.60159016,12.98999977,71142.30475,0.94,Very High
Canada,82.63,15.88825989,13.86999989,54688.41729,0.939,Very High
Liechtenstein,83.63,15.41257954,12.40995938,166811.6741,0.938,Very High
New Zealand,82.088,19.30005074,12.88299807,47259.60137,0.938,Very High
United States,79.304,15.92300034,13.90999985,73650.03077,0.938,Very High
Korea (Republic of),84.329,16.6186409,12.72219869,49726.45327,0.937,Very High
Slovenia,81.603,17.47717094,12.95120192,46360.80779,0.931,Very High
Austria,81.956,16.28428078,12.36146506,63479.20843,0.93,Very High
Japan,84.712,15.51198006,12.68404671,47774.60973,0.925,Very High
Malta,83.299,15.90985012,12.4207021,52155.07487,0.924,Very High
Luxembourg,82.229,14.35795021,12.58937195,85461.24833,0.922,Very High
France,83.325,16.09511948,11.7656677,55060.16038,0.92,Very High
Israel,82.408,14.93416023,13.53459474,48050.11176,0.919,Very High
